Species_Name,tiplabel,gen,fam,ord,clade,higher,MSW3_sciName_matched,genes,extinct.,samp,PC
Aethalops_alecto,Aethalops_alecto_PTEROPODIDAE_CHIROPTERA,Aethalops,PTEROPODIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Aethalops_alecto,6,0,sampled,PC19_Yinpterochiroptera
Aethomys_bocagei,Aethomys_bocagei_MURIDAE_RODENTIA,Aethomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Aethomys_bocagei,0,0,imputed,PC11_Muridae
Aethomys_chrysophilus,Aethomys_chrysophilus_MURIDAE_RODENTIA,Aethomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Aethomys_chrysophilus,3,0,sampled,PC11_Muridae
Aethomys_granti,Aethomys_granti_MURIDAE_RODENTIA,Aethomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,NA,0,0,imputed,PC11_Muridae
Aethomys_hindei,Aethomys_hindei_MURIDAE_RODENTIA,Aethomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Aethomys_hindei,0,0,imputed,PC11_Muridae
Aethomys_ineptus,Aethomys_ineptus_MURIDAE_RODENTIA,Aethomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Aethomys_ineptus,1,0,sampled,PC11_Muridae
Aethomys_kaiseri,Aethomys_kaiseri_MURIDAE_RODENTIA,Aethomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Aethomys_kaiseri,1,0,sampled,PC11_Muridae
Aethomys_namaquensis,Aethomys_namaquensis_MURIDAE_RODENTIA,Aethomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,NA,4,0,sampled,PC11_Muridae
Aethomys_nyikae,Aethomys_nyikae_MURIDAE_RODENTIA,Aethomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Aethomys_nyikae,0,0,imputed,PC11_Muridae
Aethomys_silindensis,Aethomys_silindensis_MURIDAE_RODENTIA,Aethomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Aethomys_silindensis,0,0,imputed,PC11_Muridae
Aethomys_stannarius,Aethomys_stannarius_MURIDAE_RODENTIA,Aethomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Aethomys_stannarius,0,0,imputed,PC11_Muridae
Aethomys_thomasi,Aethomys_thomasi_MURIDAE_RODENTIA,Aethomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Aethomys_thomasi,0,0,imputed,PC11_Muridae
Ailuropoda_melanoleuca,Ailuropoda_melanoleuca_URSIDAE_CARNIVORA,Ailuropoda,URSIDAE,CARNIVORA,Caniformes,Laurasiatheria,Ailuropoda_melanoleuca,30,0,sampled,PC22_Carnivora
Ailurops_melanotis,Ailurops_melanotis_PHALANGERIDAE_DIPROTODONTIA,Ailurops,PHALANGERIDAE,DIPROTODONTIA,Diprodontia,Marsupialia,Ailurops_melanotis,0,0,imputed,PC1_Marsupials
Ailurops_ursinus,Ailurops_ursinus_PHALANGERIDAE_DIPROTODONTIA,Ailurops,PHALANGERIDAE,DIPROTODONTIA,Diprodontia,Marsupialia,Ailurops_ursinus,9,0,sampled,PC1_Marsupials
Ailurus_fulgens,Ailurus_fulgens_AILURIDAE_CARNIVORA,Ailurus,AILURIDAE,CARNIVORA,Caniformes,Laurasiatheria,Ailurus_fulgens,25,0,sampled,PC22_Carnivora
Akodon_aerosus,Akodon_aerosus_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_aerosus,5,0,sampled,PC12_Cricetidae
Akodon_affinis,Akodon_affinis_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_affinis,1,0,sampled,PC12_Cricetidae
Akodon_albiventer,Akodon_albiventer_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_albiventer,2,0,sampled,PC12_Cricetidae
Akodon_aliquantulus,Akodon_aliquantulus_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_aliquantulus,0,0,imputed,PC12_Cricetidae
Akodon_azarae,Akodon_azarae_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_azarae,2,0,sampled,PC12_Cricetidae
Akodon_bogotensis,Akodon_bogotensis_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_bogotensis,0,0,imputed,PC12_Cricetidae
Akodon_boliviensis,Akodon_boliviensis_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_boliviensis,5,0,sampled,PC12_Cricetidae
Akodon_budini,Akodon_budini_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_budini,1,0,sampled,PC12_Cricetidae
Akodon_cursor,Akodon_cursor_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_cursor,5,0,sampled,PC12_Cricetidae
Akodon_dayi,Akodon_dayi_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_dayi,2,0,sampled,PC12_Cricetidae
Akodon_dolores,Akodon_dolores_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_dolores,3,0,sampled,PC12_Cricetidae
Akodon_fumeus,Akodon_fumeus_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_fumeus,2,0,sampled,PC12_Cricetidae
Akodon_iniscatus,Akodon_iniscatus_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_iniscatus,3,0,sampled,PC12_Cricetidae
Akodon_josemariarguedasi,Akodon_josemariarguedasi_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,NA,0,0,imputed,PC12_Cricetidae
Akodon_juninensis,Akodon_juninensis_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_juninensis,2,0,sampled,PC12_Cricetidae
Akodon_kofordi,Akodon_kofordi_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_kofordi,5,0,sampled,PC12_Cricetidae
Akodon_latebricola,Akodon_latebricola_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_latebricola,1,0,sampled,PC12_Cricetidae
Akodon_leucolimnaeus,Akodon_leucolimnaeus_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_leucolimnaeus,0,0,imputed,PC12_Cricetidae
Akodon_lindberghi,Akodon_lindberghi_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_lindberghi,1,0,sampled,PC12_Cricetidae
Akodon_lutescens,Akodon_lutescens_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_lutescens,4,0,sampled,PC12_Cricetidae
Akodon_mimus,Akodon_mimus_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_mimus,6,0,sampled,PC12_Cricetidae
Akodon_molinae,Akodon_molinae_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_molinae,1,0,sampled,PC12_Cricetidae
Akodon_mollis,Akodon_mollis_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_mollis,2,0,sampled,PC12_Cricetidae
Akodon_montensis,Akodon_montensis_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_montensis,6,0,sampled,PC12_Cricetidae
Akodon_mystax,Akodon_mystax_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_mystax,2,0,sampled,PC12_Cricetidae
Akodon_neocenus,Akodon_neocenus_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_neocenus,0,0,imputed,PC12_Cricetidae
Akodon_oenos,Akodon_oenos_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_oenos,0,0,imputed,PC12_Cricetidae
Akodon_orophilus,Akodon_orophilus_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_orophilus,2,0,sampled,PC12_Cricetidae
Akodon_paranaensis,Akodon_paranaensis_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_paranaensis,3,0,sampled,PC12_Cricetidae
Akodon_pervalens,Akodon_pervalens_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_pervalens,0,0,imputed,PC12_Cricetidae
Akodon_philipmyersi,Akodon_philipmyersi_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,NA,1,0,sampled,PC12_Cricetidae
Akodon_polopi,Akodon_polopi_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,NA,2,0,sampled,PC12_Cricetidae
Akodon_reigi,Akodon_reigi_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_reigi,1,0,sampled,PC12_Cricetidae
Akodon_sanctipaulensis,Akodon_sanctipaulensis_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_sanctipaulensis,0,0,imputed,PC12_Cricetidae
Akodon_serrensis,Akodon_serrensis_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_serrensis,2,0,sampled,PC12_Cricetidae
Akodon_siberiae,Akodon_siberiae_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_siberiae,2,0,sampled,PC12_Cricetidae
Akodon_simulator,Akodon_simulator_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_simulator,1,0,sampled,PC12_Cricetidae
Akodon_spegazzinii,Akodon_spegazzinii_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_spegazzinii,3,0,sampled,PC12_Cricetidae
Akodon_subfuscus,Akodon_subfuscus_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_subfuscus,1,0,sampled,PC12_Cricetidae
Akodon_surdus,Akodon_surdus_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_surdus,0,0,imputed,PC12_Cricetidae
Akodon_sylvanus,Akodon_sylvanus_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_sylvanus,1,0,sampled,PC12_Cricetidae
Akodon_toba,Akodon_toba_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_toba,3,0,sampled,PC12_Cricetidae
Akodon_torques,Akodon_torques_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_torques,7,0,sampled,PC12_Cricetidae
Akodon_varius,Akodon_varius_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_varius,2,0,sampled,PC12_Cricetidae
Alcelaphus_buselaphus,Alcelaphus_buselaphus_BOVIDAE_CETARTIODACTYLA,Alcelaphus,BOVIDAE,CETARTIODACTYLA,Ruminantia,Laurasiatheria,Alcelaphus_buselaphus,4,0,sampled,PC20_Cetartiodactyla
Alces_alces,Alces_alces_CERVIDAE_CETARTIODACTYLA,Alces,CERVIDAE,CETARTIODACTYLA,Ruminantia,Laurasiatheria,Alces_alces,5,0,sampled,PC20_Cetartiodactyla
Alces_americanus,Alces_americanus_CERVIDAE_CETARTIODACTYLA,Alces,CERVIDAE,CETARTIODACTYLA,Ruminantia,Laurasiatheria,Alces_americanus,4,0,sampled,PC20_Cetartiodactyla
Alionycteris_paucidentata,Alionycteris_paucidentata_PTEROPODIDAE_CHIROPTERA,Alionycteris,PTEROPODIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Alionycteris_paucidentata,5,0,sampled,PC19_Yinpterochiroptera
Allactaga_balikunica,Allactaga_balikunica_DIPODIDAE_RODENTIA,Allactaga,DIPODIDAE,RODENTIA,Mouse-related,Euarchontoglires,Allactaga_balikunica,0,0,imputed,PC8_Dipodidae
Allactaga_bullata,Allactaga_bullata_DIPODIDAE_RODENTIA,Allactaga,DIPODIDAE,RODENTIA,Mouse-related,Euarchontoglires,Allactaga_bullata,11,0,sampled,PC8_Dipodidae
Allactaga_elater,Allactaga_elater_DIPODIDAE_RODENTIA,Allactaga,DIPODIDAE,RODENTIA,Mouse-related,Euarchontoglires,Allactaga_elater,13,0,sampled,PC8_Dipodidae
Allactaga_euphratica,Allactaga_euphratica_DIPODIDAE_RODENTIA,Allactaga,DIPODIDAE,RODENTIA,Mouse-related,Euarchontoglires,Allactaga_euphratica,2,0,sampled,PC8_Dipodidae
